artist_1	artist_2	count	song_ids
Dalex	Lenny Tavárez	13	['0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '224EVTFiLsdQignUFLvDeH', '5stPVcRqb4qixbafP9e8lt', '1tpbAGsGpZee5jDHMcLrUJ', '4AjWbAwRpxk2worpjNH5CS', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '1ndyl3wJCFs872XZ3ztPk6']
Bad Bunny	J Balvin	11	['25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '0fea68AdmYNygeTGI4RC18', '7rknFhrVDyxzTJkPSf7LoW', '71pEiUWwfDFiRO6RmFpnBf', '7hynhxDoDpgMIV12JuVtNa', '4R8BJggjosTswLxtkw8V7P', '7alOsNr36sJ8CyOEP4aILq', '58q2HKrzhC3ozto2nDdN4z', '6SYSu569pfYdkDT9A5lZqi', '0uIfrUwwg0Z7KTitul7E3T']
Dalex	Justin Quiles	11	['0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '4AjWbAwRpxk2worpjNH5CS', '3jUBszAaGpZq2Nw12j6bVR', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '1ndyl3wJCFs872XZ3ztPk6', '0UfVfRSmy4xMyi67LKH5zZ']
Dalex	Sech	11	['0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '4AjWbAwRpxk2worpjNH5CS', '3jUBszAaGpZq2Nw12j6bVR', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '0UfVfRSmy4xMyi67LKH5zZ']
Justin Quiles	Sech	10	['0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '5O3cRP4ZHC9vvVIHtET1f0', '4AjWbAwRpxk2worpjNH5CS', '3jUBszAaGpZq2Nw12j6bVR', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '0UfVfRSmy4xMyi67LKH5zZ']
Nicky Jam	Sech	9	['1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '3KekO5WUfJsh7kYU9o2w50', '3dWpRjCmaHbroNahuSeX11', '5QXQy0f2q8wJNpPwJtjifx', '684EjRHwNsZQ9hCQxL4NYL', '26Qhn2T88XqVinXQpmSarj', '7fODjB7BrQTGqh0hogW6XD', '4bTZeO72FwMa6wKOiqoynL']
Anuel AA	Ozuna	9	['3jbT1Y5MoPwEIpZndDDwVq', '37zdqI4r1gswIzczSBkRon', '59PYgzOiOjGDzjDT5N5oOX', '7mWFF4gPADjTQjC97CgFVt', '2f237byd0A2w0fLlnVDOV4', '7LeQ55Z5jPBB0ggYJtAiYO', '3cg9A9GVyZAT2CPevqWr65', '2ksOAxtIxY8yElEWw8RhgK', '4bTZeO72FwMa6wKOiqoynL']
Justin Quiles	Lenny Tavárez	9	['0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '4AjWbAwRpxk2worpjNH5CS', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '1ndyl3wJCFs872XZ3ztPk6']
Lenny Tavárez	Sech	9	['0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '4AjWbAwRpxk2worpjNH5CS', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD']
Dalex	Feid	8	['0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '4AjWbAwRpxk2worpjNH5CS', '0RDgqtvOHLwcI6yz9bjsZV', '0UfVfRSmy4xMyi67LKH5zZ']
