artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	54	7
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	38	4
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	35	19
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	25	11
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	24	6
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	24	1
6nfDaffa50mKtEOwR8g4df	GOT7	['k-pop', 'k-pop boy group']	23	0
0AvGycOEDZTaBFLCaiGd9S	YOUNGOHM	['thai hip hop', 'thai pop', 'thai trap']	20	10
7f4ignuCJhLXfZ9giKT7rH	NCT 127	['k-pop', 'k-pop boy group']	18	0
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	18	5
49tQo2QULno7gxHutgccqF	LANY	['la pop']	16	5
3paGCCtX1Xr4Gx53mSeZuQ	NCT U	['k-pop', 'k-pop boy group']	16	0
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	16	0
3zSMaWnvUzyNlOW0Tj2s4N	SCRUBB	['thai indie pop', 'thai indie rock', 'thai pop']	16	0
5TnQc2N1iKlFjYD7CPGvFc	DAY6	['k-pop', 'k-pop boy group']	15	0
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	15	12
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	14	6
1qBsABYUrxg9afpMtyoFKz	WayV	['chinese idol pop', 'k-pop']	13	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	12	5
0XkEUMM4lJHAzfTK9vR0cu	Violette Wautier	['thai indie pop', 'thai pop']	12	3
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	12	3
5fYMwzhko3iLCsqNhy07NG	MEAN Band	['thai pop']	12	1
5r1tUTxVSgvBHnoDuDODPH	IZ*ONE	['k-pop', 'k-pop girl group']	11	0
3mIj9lX2MWuHmhNCA7LSCW	The 1975	['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']	10	0
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	10	0
18VUKXPiyznwK6LEULTUco	1MILL	['thai trap']	10	7
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	10	5
2DaMrZndfGgM3yd9ivadRC	Lipta	['thai pop']	10	1
5RmQ8k4l3HZ8JoPb4mNsML	Agust D	['k-rap']	10	4
2SWWw5uB9cO5m7zJQZqwmr	BOWKYLION	['thai indie pop', 'thai pop']	10	0
1ssEwBiz4ZKrbgR6o8vOeg	Polycat	['greek house', 'thai indie pop', 'thai indie rock', 'thai pop']	10	0
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	9	2
1qAOsY7jv9GFTv4HoVof5P	Three Man Down	['thai indie pop', 'thai pop']	9	2
3KonOYiLsU53m4yT7gNotP	TREASURE	['k-pop', 'k-pop boy group']	9	0
1WLKjYJX9YHSlwufclauhg	URBOYTJ	['thai hip hop', 'thai pop']	9	5
6741jcSlgsv0M3B4ruIPS5	EXO-SC	['k-pop', 'k-pop boy group']	9	5
3E2RbO6J3JSYa9VgP5iGMH	FIIXD	['thai hip hop', 'thai trap']	9	9
4ufh0WuMZh6y4Dmdnklvdl	BAEKHYUN	['k-pop']	9	1
4e3QCzBNkr0t3GGqo86Ofl	Stamp	['thai pop']	9	2
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	9	4
2AfmfGFbe0A0WsTYm0SDTx	(G)I-DLE	['k-pop', 'k-pop girl group']	9	3
1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	['k-pop', 'k-pop boy group']	9	1
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	9	2
6y9nlaoynxSvoTGY09Vdcy	WOODZ	['k-pop', 'korean r&b']	8	2
5w5u1DluuMvsS9o02rqWO5	LAZYLOXY	['thai pop', 'thai trap']	8	8
2MnMuRYL9qsGvWPsZGeDGQ	F.HERO	['thai hip hop', 'thai pop', 'thai trap']	8	8
3pc0bOVB5whxmD50W79wwO	keshi	['chill r&b']	8	0
6f38IgFJNrepAhVQzVRSdh	Whal & Dolph	['thai indie pop', 'thai indie rock', 'thai pop']	8	1
1aEKvjRnbf1laB7DVXFqsG	fellow fellow	['thai pop']	8	1
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	8	4
1DsSoeOUg0YS2hl2czNcbw	Safeplanet	['thai indie pop', 'thai pop']	8	0
3yLZtAIGm6Eq4WSfnimZad	WANYAi	['thai pop']	7	2
3HqSLMAZ3g3d5poNaI7GOU	IU	['k-pop', 'pop']	7	2
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	7	5
1Twi7NfmUzbXF7lEMaGCqF	Ink Waruntorn	['thai indie pop', 'thai pop']	7	1
4esoPgrgPKbWa6gwU8EGmH	Tilly Birds	['thai indie rock', 'thai pop']	7	1
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	7	5
6gYafDbRgLFc6zFKxKCP22	GAVIN:D	['thai hip hop', 'thai pop']	7	6
6IjkVLH49YhlZiz4TOHJZv	Oat Pramote	['thai pop']	6	4
2KC9Qb60EaY0kW4eH68vr3	ITZY	['k-pop', 'k-pop girl group']	6	0
1pTiPuAABytFjsXsUwgsNE	Pause	['thai pop', 'thai rock']	6	0
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	6	4
3gIRvgZssIb9aiirIg0nI3	Jeremy Zucker	['alt z', 'electropop', 'pop']	6	0
3CYmJROYywqfz2zXoUrcGB	Zom Marie	['thai pop']	6	3
7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	['k-pop', 'k-pop boy group']	6	0
6bwp9ObI8FWvMPCIWVBmhl	Red Velvet - IRENE & SEULGI	['k-pop']	6	0
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	6	4
4QLlbZcntdcWpm40NooC2M	Maiyarap	['thai hip hop', 'thai pop', 'thai trap']	6	6
2feGNLrcUrcsQNA1QJBaIe	TangBadVoice	['thai hip hop', 'thai indie rock', 'thai trap']	6	1
5zkf2Na8DKKJmtWX5Xrx3m	SUHO	['k-pop']	6	1
1eVPKI2R4NlX6P5FIuMXis	MILLI	['thai hip hop', 'thai pop', 'thai trap']	6	4
4gOc8TsQed9eqnqJct2c5v	K/DA	['k-pop girl group']	6	6
47mIJdHORyRerp4os813jD	League of Legends	['speedrun', 'video game music']	6	6
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	6	4
5BHFSMEjfLVx1JwRWjAOsE	SuperM	['k-pop']	6	0
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	5	3
1OXHqAK6r5mF0FV94nc0pD	OG-ANIC	['thai hip hop', 'thai pop']	5	4
2dIgFjalVxs4ThymZ67YCE	Stray Kids	['k-pop', 'k-pop boy group', 'pop']	5	0
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	5	0
4G5OlxtrOm9ADmu3VZgFbG	MEYOU	['thai hip hop', 'thai indie pop', 'thai pop']	5	0
1C6qssOWal7Sii2guMg0mx	Pop Pongkool	['thai pop']	5	2
1W7FNibLa0O0b572tB2w7t	Pink Sweat$	['bedroom soul']	5	0
0A7q0U0IEdNOHWnQpMRQdD	BNK48	['t-pop girl group']	5	0
2iLCiSxdwUMDEfqyfkuLEw	atom chanakan	['thai pop']	5	0
2a727ekkPaUHk0bMifk7fj	Billkin	['thai pop']	5	1
0Vw76uk7P8yVtTClWyOhac	HONNE	['uk pop']	5	0
3081y1bGPVy4mULL5Td9cJ	David Sarah UuI	[]	5	0
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	5	5
