artist_id	name	genres	num_hits	num_collab_hits
7FNnA9vBm6EKceENgCGRMb	Anitta	['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']	43	34
1yR65psqiazQpeM79CcGh8	Marília Mendonça	['arrocha', 'sertanejo', 'sertanejo universitario']	36	15
7MiDcPa6UiV3In7lIM71IN	Gusttavo Lima	['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']	35	9
487N2T9nIPEHrlTZLL3SQs	Zé Neto & Cristiano	['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']	31	7
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	27	13
6vWDO969PvNqNYHIOW5v0m	Beyoncé	['pop', 'r&b']	24	5
2Z0lRIqr997lIUiPtrpKCr	Matheus & Kauan	['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']	23	12
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	23	5
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	23	6
2UMj7NCbuqy1yUZmiSYGjJ	MC Kevin o Chris	['funk 150 bpm', 'funk carioca', 'funk rj']	19	14
1sPg5EHuQXTMElpZ4iUgXe	ANAVITÓRIA	['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional']	18	7
59FrDXDVJz0EKqYg39dnT2	Jão	['pop nacional']	17	3
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	16	0
1AL2GKpmRrKXkYIcASuRFa	Wesley Safadão	['arrocha', 'forro', 'sertanejo universitario']	16	8
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	16	2
4iWkwAVzssjb8XgxdoOL6M	TIAGO IORC	['folk brasileiro', 'mpb', 'nova mpb']	16	2
1mXAhKnZEdF6rotyyd4GBi	MC Kevinho	['arrocha', 'funk carioca', 'funk ostentacao', 'funk pop', 'sertanejo universitario']	15	12
3zhKxZr516VdNDa8v3oft2	UM44K	['funk carioca', 'nova mpb', 'pop rap brasileiro']	15	6
59jlthNnbmim5l9tmNA7se	Maiara & Maraisa	['sertanejo', 'sertanejo universitario']	15	11
3p7PcrEHaaKLJnPUGOtRlT	Henrique & Juliano	['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']	15	7
3CDoRporvSjdzTrm99a3gi	LUDMILLA	['funk carioca', 'funk pop', 'funk rj', 'pagode baiano', 'pop nacional']	15	14
06lnOkY99sXVW44Y0M4BDP	Vitão	['pop nacional']	15	10
1elUiq4X7pxej6FRlrEzjM	Jorge & Mateus	['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']	14	7
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	14	6
1X6ORK7IekgmyjV6IFPszP	Gustavo Mioto	['arrocha', 'sertanejo', 'sertanejo universitario']	13	5
204IwDdaHE4ymGk9Kya2pY	Djonga	['afrofuturismo brasileiro', 'brazilian hip hop', 'rap mineiro']	13	7
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	13	2
3qvcCP2J0fWi0m0uQDUf6r	Luan Santana	['arrocha', 'sertanejo', 'sertanejo universitario']	13	6
4PzYKhC14sTJNEr0dzoo0d	Luísa Sonza	['pop nacional']	12	5
6tzRZ39aZlNqlUzQlkuhDV	Pabllo Vittar	['dance pop', 'funk carioca', 'funk pop', 'pop lgbtq+ brasileira', 'pop nacional']	12	5
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	12	8
0NGAZxHanS9e0iNHpR8f2W	Alok	['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']	12	12
4NUePmzDvCYqilXBFa91Hg	Dilsinho	['pagode', 'pagode novo', 'sertanejo universitario']	12	6
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	11	5
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	11	5
5ZfBThYiIIhL7jHMG8gDB2	Ferrugem	['pagode', 'pagode novo', 'sertanejo universitario']	11	5
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	10	6
09U6hmCerKcIJrixubiBjm	Pineapple StormTv	['rap baiano', 'trap baiano']	10	10
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	10	7
3k68C6mNMJL6OaAdWeW2ZF	Diego & Victor Hugo	['arrocha', 'sertanejo', 'sertanejo universitario']	9	6
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	9	9
6OpOg5HVCc8xVf7OVrd5Fk	Jerry Smith	['brega funk', 'funk carioca']	9	5
5nP8x4uEFjAAmDzwOEc9b8	Matuê	['r&b brasileiro', 'rap cearense', 'trap brasileiro']	9	4
6xlRSRMLgZbsSNd0BMobwy	DENNIS	['funk carioca', 'funk das antigas', 'sertanejo universitario']	9	9
2ZXnTEyYopSLCDiz5Z0XIf	MC Kekel	['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']	8	7
5Lv2GUVwqmQBPwrTrxucE5	Os Barões Da Pisadinha	['agronejo', 'arrocha', 'forro', 'piseiro', 'sertanejo universitario']	8	0
1D6vAeVUcgMbSx80IA3Zun	Henrique & Diego	['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']	7	4
47uyFQHOD02S0lj9ptRpoB	Felipe Araújo	['arrocha', 'sertanejo', 'sertanejo universitario']	7	2
7KVJCU4z5L4EUHILL8aMxR	Leo Santana	['arrocha', 'pagode baiano', 'pop nacional']	7	6
1oSgjdbgLYULVmEBojPRw8	Fernando & Sorocaba	['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']	7	5
35YkpX0zYwHG8vOIhObvxP	Mano Walter	['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']	7	5
597XBqZtaiZC7laCNx3nVz	Yasmin Santos	['sertanejo', 'sertanejo pop', 'sertanejo universitario']	6	3
0jTDeBJQr3unrK29LklnAv	Lexa	['funk carioca', 'funk pop', 'funk rj', 'pop nacional', 'sertanejo universitario']	6	5
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	6	0
5JG9GISYjRLQUJMH2C6iJ5	Turma do Pagode	['pagode', 'pagode novo', 'sertanejo universitario']	6	3
7me0S5Z40qVWj3gzyK8aC3	Mc Livinho	['funk carioca', 'funk paulista', 'funk rj', 'sertanejo universitario']	6	5
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	6	4
7zxFc10N9BP2lg73b8cwZ0	Salve Malak	['pop rap brasileiro']	6	6
5xYkM2vMrE23taj6tl7qkm	Pk	['funk carioca', 'trap funk']	6	6
4FGcERJWMg8ENOLixwF71U	Vitor Kley	[]	6	3
540vIaP2JwjQb9dm3aArA4	DJ Snake	['edm', 'electronic trap', 'pop', 'pop dance']	6	6
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	6	5
0MInKJqZscEeNc5K3K0mkE	Simone & Simaria	['pop nacional', 'sertanejo', 'sertanejo universitario']	6	5
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	6	6
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	6	3
3rfM2cGqF6DB0kUyytMkXx	Orochi	['brazilian hip hop', 'trap brasileiro']	6	6
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	6	1
6tbjWDEIzxoDsBA1FuhfPW	Madonna	['dance pop', 'pop']	6	4
5wbf52LA6kcaboHSN6NEF1	PEDRO SAMPAIO	['funk carioca', 'funk rj']	6	3
6uYrXgVHctAJtIdSODcyLJ	Melim	['mpb', 'nova mpb', 'pop nacional']	5	1
0NsJZ5PMjqghGDuMzY7CuT	Marcos & Belutti	['sertanejo', 'sertanejo pop', 'sertanejo universitario']	5	2
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	5	5
5D56dZmhE9DgT01XixdHiD	Lagum	['belo horizonte indie', 'nova mpb']	5	3
41QLxRXlc2NwfJZkHGHKid	Israel & Rodolffo	['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']	5	1
14D0I0RYqvIorkPL2EWoQh	MC WM	['funk carioca']	5	2
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	5	1
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	5	3
06cd30Cv9US973Ika84gDw	Lucas Lucco	['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']	5	2
5veVxxPm1vzgi6pO2iVA8L	Bruno Martini	['pop nacional']	5	5
1cYhx7ZOhYoVmnDPb9KMwo	Mc Davi	['funk carioca', 'funk paulista']	5	5
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	5	4
11iQCRz636WFdHj42qxAF6	POCAH	['funk carioca', 'funk rj', 'pagode baiano']	5	3
28uJnu5EsrGml2tBd7y8ts	Vintage Culture	['brazilian edm']	5	5
0CrGLmfVKzk9rAyiNb91ft	Diego & Arnaldo	['agronejo', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']	5	0
0pcoadNMmvrUyab1RxWBoV	MC Hariel	['funk carioca', 'funk consciente', 'funk paulista']	5	5
7gJN8W0589FisSYJS17K54	Filipe Ret	['pop rap brasileiro']	5	4
5YwzDz4RJfTiMHS4tdR5Lf	Xamã	['brazilian hip hop', 'trap brasileiro']	5	5
7tcFzUKSICkJWCZzWs4htq	Luan Otten	['r&b brasileiro']	5	5
5WFFFHVqeVk5tLuYh2KjQy	Luccas Carlos	['brazilian hip hop', 'pop nacional', 'pop rap brasileiro', 'r&b brasileiro']	5	5
7Lmrb6KcIzfkmgbtokjsAL	Mc Don Juan	['arrocha', 'batidao romantico', 'funk carioca', 'funk paulista']	5	3
0NiaKn55OzJswiYevvlKfz	Raí Saia Rodada	['arrocha', 'forro']	4	1
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	4	2
6xerOqBLmelL3xZNZkVbGl	João Gustavo e Murilo	['sertanejo', 'sertanejo pop', 'sertanejo universitario']	4	3
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	4	3
7rXMvXRnWHaSwnVvPeUUfw	Gloria Groove	['funk carioca', 'pop lgbtq+ brasileira']	4	2
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	4	2
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	4	1
